stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,smemgrp,sfoiasec,srptsec,sattyid,svlj,sinvsec,sdomainid
LHANSEN,,,,,Lillian,G,Hansen,LHANSEN,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1008,,,
BHILPERT,,,,,Bertram,K,Hilpert,BHILPERT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,511,,,1009,A,,BVABHILPERT
SREINGER,,,,,Sheridan,M,Reinger,SREINGER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1006,J,,BVASREINGER
SSCHILLER,,,,,Sonia,A,Schiller,SSCHILLER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
SKUVALIS,,,,,Sydnee,Z,Kuvalis,SKUVALIS,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1012,A,,
SLANG,,,,,Shyann,P,Lang,SLANG,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1011,,,BVASLANG
AFUNK,,,,,Audra,F,Funk,AFUNK,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
KFEENEY,,,,,Kareem,V,Feeney,KFEENEY,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1010,J,,BVAKFEENEY
RMARQUARD,,,,,Roel,J,Marquardt,RMARQUARD,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
HOKUNEVA,,,,,Haleigh,E,Okuneva,HOKUNEVA,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,511,,,1013,A,,
WGOTTLIEB,,,,,Wendell,M,Gottlieb,WGOTTLIEB,SUP,,ADDMOD,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CKUHIC,,,,,Clotilde,I,Kuhic,CKUHIC,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
BSCHUMM,,,,,Broderick,A,Schumm,BSCHUMM,HRG,,CDLEGCLK,,,,,,,,,,605.859.3838,,,,,,,,,,,,,,,I,,,,,,,,,,,
GOSINSKI,,,,,Gerardo,P,Osinski,GOSINSKI,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
DOSINSKI,,,,,Dorcas,G,Osinski,DOSINSKI,OPR,,DIR,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
15,,,,,,,15 Decn. Transcription Abeyance,15,,15,,,,,,,,,,,,,ABERGSTRO,1994-04-05 14:30:34 UTC,SBARTELL,2003-05-22 00:00:00 UTC,,,,,,,,,,A,,,,,,,,,,,
21,,,,,,,21 Motions Abeyance,21,,21,,,,,,,,,,,,,SBARTELL,2003-05-05 00:00:00 UTC,SBARTELL,2016-10-12 00:00:00 UTC,,,,,,,,,,A,,,,,,,,,,,
NBINS,,,,,Noe,I,Bins,NBINS,,,,,,,,,,,,,,,ABERGSTRO,1994-04-28 09:21:30 UTC,,,3,3,-103,248,,,,,,,,,,,,,,,,,
LTOWNE,,,,,Leo,N,Towne,LTOWNE,SUP,67-70,CDLEGCLK,,,,,,,,,,993-558-6122 x986,,ABERGSTRO,1994-05-18 12:17:29 UTC,WLANGOSH,1995-09-29 16:05:26 UTC,2,2,180,15,,,,,,I,,,,,,,,,,,
DDENESIK,,,,,Dayana,Q,Denesik,DDENESIK,DV-DIR,68-96,AMC,,,,,,,,,,,,ABERGSTRO,1994-05-18 13:18:16 UTC,WLANGOSH,1998-04-03 10:43:48 UTC,20,20,315,408,,,,,,A,,,,,,,,,,,BVADDENESIK
TBOSCO,,,ROADMIN,,Theresa,F,Bosco,TBOSCO,SUP,67-82,CMB,,,,,,,,,,952.920.9048,,ABERGSTRO,1994-05-18 13:24:59 UTC,SBARTELL,2012-09-28 00:00:00 UTC,2,2,7,4,,,,,,A,,,,,,,,,A,,BVATBOSCO
RKLOCKO,,,,,Ramona,C,Klocko,RKLOCKO,DV-DIR,68-47,AMC,,,,,,,,,5784,,,ABERGSTRO,1994-05-18 14:01:11 UTC,WLANGOSH,1996-03-06 10:05:49 UTC,3,3,275,569,,,,,,A,,,,,,,,,,,BVARKLOCKO
GRUECKER,,,,,George,W,Ruecker,GRUECKER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1208,,,
27,,,,,,,27 Customer Service,27,,27,,,,,,,,,,,,,ABERGSTRO,1994-04-05 14:56:11 UTC,SBARTELL,2016-10-12 00:00:00 UTC,,,,,,,,,,A,,,,,,,,,,,
26,,,,,,,26 Field Representative,26,,26,,,,,,,,,,,,,ABERGSTRO,1994-04-05 14:58:27 UTC,BFEENEY,1995-07-13 08:36:16 UTC,,,,,,,,,,A,,,,,,,,,,,
LRUNOLFSS,,,,,Luella,M,Runolfsson,LRUNOLFSS,AHUDSON,13-576,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-11-14 09:49:08 UTC,LRUNOLFSS,1998-01-29 13:32:12 UTC,0,0,0,0,,,,,,I,,,,,,,,576,,,
AYOST,,,,,Ahmed,E,Yost,AYOST,SBODE,16-579,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-12-03 08:04:17 UTC,WLANGOSH,1996-12-03 08:04:32 UTC,0,0,0,0,,,,,,I,,,,,370,,,579,A,,
ABOGISICH,,,,,Alfonso,A,Bogisich,ABOGISICH,AHUDSON,04-580,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-12-03 08:05:39 UTC,WLANGOSH,1996-12-03 08:05:55 UTC,0,0,0,0,,,,,,I,,,,,,,,580,,,
NARMSTRON,,,,,Nicklaus,F,Armstrong,NARMSTRON,SBODE,06-582,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-12-12 09:51:06 UTC,WLANGOSH,1996-12-12 09:51:29 UTC,0,0,0,0,,,,,,A,,,,,374,,,582,,,BVANARMSTRON
MTORP,,,,,Magdalena,M,Torp,MTORP,SBODE,16-581,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-12-12 09:53:26 UTC,WLANGOSH,1996-12-12 09:53:47 UTC,0,0,0,0,,,,,,A,,,,,511,,,581,A,,BVAMTORP
EMARKS,,,,,Edison,K,Marks,EMARKS,AHUDSON,04-583,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-12-12 09:55:51 UTC,WLANGOSH,1996-12-12 09:56:11 UTC,0,0,0,0,,,,,,I,,,,,,,,583,,,
LPADBERG,,,,,Libbie,R,Padberg,LPADBERG,CRUSSEL,03-584,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-12-12 09:57:03 UTC,WLANGOSH,1997-07-31 11:49:16 UTC,0,0,0,0,,,,,,I,,,,,,,,584,,,
LTORP,,,,,Leatha,R,Torp,LTORP,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,736,J,,
RGORCZANY,,,,,Rebeka,A,Gorczany,RGORCZANY,CRUSSEL,16-585,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-01-06 11:54:05 UTC,WLANGOSH,1997-01-06 11:54:23 UTC,0,0,0,0,,,,,,I,,,,,,,,585,,,
VBOGAN,,,,,Vesta,U,Bogan,VBOGAN,SBODE,06-586,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-01-09 12:02:03 UTC,WLANGOSH,1997-01-09 12:02:26 UTC,0,0,0,0,,,,,,A,,,,,679,,,586,J,,BVAVBOGAN
GSENGER,,,,,Germaine,H,Senger,GSENGER,SBODE,04-587,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-01-09 12:03:59 UTC,WLANGOSH,1997-01-09 12:04:18 UTC,0,0,0,0,,,,,,A,,,,,370,,,587,A,,BVAGSENGER
SRATH,,,,,Sanford,E,Rath,SRATH,SBODE,16-588,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-01-09 12:05:08 UTC,WLANGOSH,1997-01-09 12:05:42 UTC,0,0,0,0,,,,,,A,,,,,556,,,588,A,,BVASRATH
BHICKLE,,,,,Bryana,I,Hickle,BHICKLE,AHUDSON,04-589,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-01-23 11:01:09 UTC,WLANGOSH,1997-01-23 11:01:26 UTC,0,0,0,0,,,,,,I,,,,,,,,589,,,
KSKILES,,,,,Keven,N,Skiles,KSKILES,A2-120,67-120,ADDMOD,,,,,,,,,,1-758-820-3516 x914,,WLANGOSH,1997-02-04 15:21:19 UTC,WLANGOSH,1998-01-07 08:08:39 UTC,0,0,1,3,,,,,,I,,,,,,,,,,,
MKOZEY,,,,,Maxine,J,Kozey,MKOZEY,CRUSSEL,16-590,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-02-07 15:44:16 UTC,WLANGOSH,1997-02-07 15:44:33 UTC,0,0,0,0,,,,,,I,,,,,,,,590,,,
KMAGGIO,,,,,Kelsie,N,Maggio,KMAGGIO,SBODE,06-592,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-02-07 15:45:29 UTC,WLANGOSH,1997-02-07 15:45:38 UTC,0,0,0,0,,,,,,A,,,,,374,,,592,A,,BVAKMAGGIO
DSCHAEFER,,,,,Dimitri,F,Schaefer,DSCHAEFER,SBODE,06-593,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-02-07 15:46:26 UTC,WLANGOSH,1997-02-07 15:47:03 UTC,0,0,0,0,,,,,,I,,,,,,,,593,,,
EMARQUARD,,,,,Eliezer,X,Marquardt,EMARQUARD,SBODE,16-594,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-02-07 15:48:15 UTC,WLANGOSH,1997-02-07 15:48:45 UTC,0,0,0,0,,,,,,I,,,,,,,,594,,,
CHANE,,,,,Candida,H,Hane,CHANE,SBODE,13-595,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-02-26 10:48:19 UTC,SBARTELL,1998-01-13 13:28:05 UTC,0,0,0,0,,,,,,A,,,,,370,,,595,J,,BVACHANE
RSPINKA,,,,,Ronaldo,A,Spinka,RSPINKA,MHALEY,06-596,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-02-26 10:50:17 UTC,WLANGOSH,1997-02-26 10:50:36 UTC,0,0,0,0,,,,,,I,,,,,,,,596,,,
BCUMMINGS,,,,,Brianne,Y,Cummings,BCUMMINGS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,733,A,,BVABCUMMINGS
MPREDOVIC,,,,,Sadye,Z,McKenzie,MPREDOVIC,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
RNADER,,,,,Andreanne,N,Turner,RNADER,SBODE,13-597,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1997-02-26 10:51:24 UTC,SBARTELL,1998-01-13 13:26:50 UTC,0,0,0,0,,,,,,A,,,,,374,,,597,,,BVAATURNER
NCONN,,,,,Nellie,G,Conn,NCONN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
MHILLS,,,,,Marques,C,Hills,MHILLS,DAV,,DAV,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVAMHILLS
JBECHTELA,,,,,Josefa,R,Bechtelar,JBECHTELA,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
FFRAMI,,,,,Fiona,L,Frami,FFRAMI,OPR,,REV,,,,,,,,,,(443) 491-5314,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAFFRAMI
RFRITSCH,,,,,Rickie,G,Fritsch,RFRITSCH,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
MCOLLIER,,,,,Milton,I,Collier,MCOLLIER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
FORN,,,,,Fannie,X,Orn,FORN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
VO'HARA,,,,,Verona,K,O'Hara,VO'HARA,SUP,,DSP,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
VTRANTOW,,,,,Verner,E,Trantow,VTRANTOW,SBODE,,BDCOUNSEL,,,,,,,,,,469-396-4368,,,,,,,,,,,,,,,A,,,,,365,,,1380,,,BVAVTRANTOW
SDICKI,,,,,Sheridan,X,Dicki,SDICKI,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
AFISHER,,,,,Antonette,Y,Fisher,AFISHER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAAFISHER
FBOGAN,,,,,Flossie,I,Bogan,FBOGAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1372,,,
CMCCLURE,,,,,Carlos,O,McClure,CMCCLURE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1373,,,
EHACKETT,,,,,Elmira,O,Hackett,EHACKETT,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAEHACKETT
LREYNOLDS,,,,,Lyla,J,Reynolds,LREYNOLDS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,511,,,1375,,,BVALREYNOLDS
ASANFORD,,,,,Arnold,T,Sanford,ASANFORD,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,805,,,1376,,,
SSHANAHAN,,,,,Sunny,A,Shanahan,SSHANAHAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,511,,,1377,,,BVASSHANAHAN
GSENGER,,,,,Theresa,U,Douglas,GSENGER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,556,,,1378,,,
TZEMLAK,,,,,Terence,X,Zemlak,TZEMLAK,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1381,,,
PJACOBI,,,,,Percy,K,Jacobi,PJACOBI,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1382,,,BVAPJACOBI
GHYATT,,,,,Grayce,G,Hyatt,GHYATT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,1383,,,BVAGHYATT
KOKUNEVA,,,,,Kimberly,O,Okuneva,KOKUNEVA,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
AWIEGAND,,,,,Althea,D,Wiegand,AWIEGAND,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAAWIEGAND
MBEATTY,,,,,Mellie,I,Beatty,MBEATTY,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,556,,,1386,,,
MLANG,,,,,Mackenzie,Z,Lang,MLANG,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
BHAUCK,,,,,Blaze,N,Hauck,BHAUCK,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVABHAUCK
LTURNER,,,,,Lizzie,D,Turner,LTURNER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
BHUELS,,,,,Bernita,P,Huels,BHUELS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1389,,,
MMOHR,,,,,Marcel,P,Mohr,MMOHR,01-CHR,,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,BVAMMOHR
GKEELING1,,,,,Lukas,E,Mitchell,GKEELING1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,370,,,1392,,,
SFISHER,,,,,Stewart,D,Fisher,SFISHER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1393,,,BVASFISHER
NHILLL,,,,,Nakia,K,Hilll,NHILLL,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,1395,,,BVANHILLL
ABORER,,,,,Alize,D,Borer,ABORER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1396,,,
RREYNOLDS,,,,,Reginald,E,Reynolds,RREYNOLDS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1397,,,BVARREYNOLDS
TRATKE,,,,,Tate,A,Ratke,TRATKE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,556,,,1398,,,
MWEISSNAT,,,,,Mina,F,Weissnat,MWEISSNAT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,805,,,1399,,,
MTOY,,,,,Melvin,M,Toy,MTOY,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,556,,,1400,,,
MTORP1,,,,,Merl,J,Torp,MTORP1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
CHOEGER,,,,,Christina,Z,Hoeger,CHOEGER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
CBLANDA,,,,,Creola,Z,Blanda,CBLANDA,AIRS,,AIRS,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVACBLANDA
JMCLAUGHL,,,,,Jonathan,D,McLaughlin,JMCLAUGHL,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVAJMCLAUGHL
EBAILEY,,,,,Edna,R,Bailey,EBAILEY,011W,,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAEBAILEY
NLANGWORT,,,,,Nyah,O,Langworth,NLANGWORT,011W,,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVANLANGWORT
LCRIST,,,,,Lavina,T,Crist,LCRIST,SSENGER,,DSP,,,,,,,,,,1-876-823-7393,,,,,,,,,,,,,,,I,,,,,,,,,,,
AJASKOLSK,,,,,Alba,Z,Jaskolski,AJASKOLSK,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,1402,,,BVAAJASKOLSK
TFRANECKI,,,,,Taya,W,Franecki,TFRANECKI,AIRS,,AIRS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
EMUELLER,,,,,Erling,Z,Mueller,EMUELLER,OPR,,REV,,,,,,,,,,1-920-990-5298,,,,,,,,,,,,,,,I,,,,,,,,,,,
MHILPERT,,,,,Maybelle,Z,Hilpert,MHILPERT,SSENGER,,DSP,,,,,,,,,,(130) 836-4841 x182,,,,,,,,,,,,,,,I,,,,,,,,,,,
AMCKENZIE,,,,,Alexanne,R,McKenzie,AMCKENZIE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,167,,,1418,,,
ASPINKA,,,,,Alysa,L,Spinka,ASPINKA,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1413,,,BVAASPINKA
MKRIS,,,,,Mitchell,P,Kris,MKRIS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,1442,,,BVAMKRIS
WYUNDT,,,,,Ward,U,Yundt,WYUNDT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,370,,,1457,,,
ZKUHN,,,,,Zackary,B,Kuhn,ZKUHN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,448,,,1415,,,
MKOHLER,,,,,Myah,C,Kohler,MKOHLER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1411,,,
SMCCLURE,,,,,Sedrick,G,McClure,SMCCLURE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,556,,,1407,,,
TTHIEL,,,,,Trystan,P,Thiel,TTHIEL,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1408,,,BVATTHIEL
EBRAUN,,,,,Eleonore,O,Braun,EBRAUN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1414,,,
GDACH,,,,,Gayle,R,Dach,GDACH,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,556,,,1433,,,
ASTROMAN,,,,,Afton,L,Stroman,ASTROMAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,448,,,1419,,,
RTILLMAN,,,,,Rick,C,Tillman,RTILLMAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,556,,,1405,,,
LHARTMANN,,,,,Laurine,K,Hartmann,LHARTMANN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,1425,,,BVALHARTMANN
CLYNCH,,,,,Carli,U,Lynch,CLYNCH,OPR,,REV,,,,,,,,,,1-773-603-4212 x19256,,,,,,,,,,,,,,,I,,,,,,,,,,,
RWALSH,,,,,Randi,M,Walsh,RWALSH,VVA,,VVA,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVARWALSH
IDURGAN,,,,,Isai,G,Durgan,IDURGAN,OPR,,REV,,,,,,,,,,241.656.5209 x4784,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAIDURGAN
CHARBER,,,,,Candido,R,Harber,CHARBER,01C2,,COR,,,,,,,,,,(992) 079-7584,,,,,,,,,,,,,,,A,,,,,386,,,1462,,,BVACHARBER
ZHARRIS,,,,,Zola,C,Harris,ZHARRIS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1446,,,BVAZHARRIS
SKAUTZER,,,,,Shyann,B,Kautzer,SKAUTZER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1435,,,BVASKAUTZER
ACHAMPLIN,,,,,Annalise,C,Champlin,ACHAMPLIN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,679,,,1459,,,
JRATKE,,,,,Jillian,X,Ratke,JRATKE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1422,,,BVAJRATKE
ABOGAN,,,,,Arely,Y,Bogan,ABOGAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1423,,,BVAABOGAN
BFRANECKI,,,,,Bridgette,T,Franecki,BFRANECKI,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,1424,,,BVABFRANECKI
LKOSS,,,,,Lorenza,M,Koss,LKOSS,SBODE,,BDCOUNSEL,,,,,,,,,,1-141-370-8154,,,,,,,,,,,,,,,A,,,,,805,,,1464,,,BVALKOSS
BONDRICKA,,,,,Bill,R,Ondricka,BONDRICKA,HRG,,CDLEGCLK,,,,,,,,,,204-565-2313 x9834,,,,,,,,,,,,,,,I,,,,,,,,,,,
SSHIELDS,,,,,Sunny,Y,Shields,SSHIELDS,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
JBODE,,,,,Jewel,Y,Bode,JBODE,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
SHUELS,,,,,Stuart,L,Huels,SHUELS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,860,A,,BVASHUELS
97,,,,,,,97 Remand in Transit AMC,97,,97,,,,,,,,,,,,,SBARTELL,2005-09-01 00:00:00 UTC,,,,,,,,,,,,I,,,,,,,,,,,
TMRAZ,,,,,Tia,N,Mraz,TMRAZ,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,863,A,,BVATMRAZ
HSCHAEFER,,,,,Henriette,F,Schaefer,HSCHAEFER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,861,A,,BVAHSCHAEFER
