hearing_pkseq,hearing_type,folder_nr,hearing_date,hearing_disp,board_member,notes1,team,room,rep_state,mduser,mdtime,reqdate,clsdate,recmed,consent,conret,contapes,tranreq,transent,wbtapes,wbbackup,wbsent,recprob,taskno,adduser,addtime,aod,holddays,vdkey,repname,vdbvapoc,vdropoc,canceldate,addon
516524,T,3283372,2016-11-18 08:30:00 UTC,N,918,,SBODE,,ME,RZIEMANN1,2016-11-18,,,,,,,,,,,,,,RO19,2016-09-24,,,2017-14-1,Elmore Wilderman MD,Joany Price 915.031.6172 x1036,Lilian Smitham (592) 427-4089 x0472,,
516573,T,2571277,2016-11-16 08:30:00 UTC,N,918,Praesentium et dolores repellat.,SBODE,,AL,RZIEMANN1,2016-11-18,,,,,,,,,,,,,,RO19,2016-09-26,,,2017-14-1,Parker Jacobs III,Omer Hartmann 512.168.6133,Nestor Fritsch (777) 423-1498 x0669,,
523472,C,2903521,2017-08-08 09:00:00 UTC,N,909,Et magnam est labore.,SBODE,3,OH,CTROMP,2017-08-08,,,,,,,,,,,,,,JRAYNOR,2017-06-02,,,,Kelli Altenwerth,Jasmin Champlin (983) 878-4049 x7379,Robert Quigley 1-125-506-9747 x661,,
523473,C,2760964,2017-08-08 09:00:00 UTC,H,909,Non delectus quo voluptates id deserunt ea sunt consectetur.,SBODE,3,LA,CTROMP,2017-11-03,,,3,2017-08-09,,W,Y,,,,,,,JRAYNOR,2017-06-02,G,,,Arne Lebsack MD,Gladys Mann 514-401-5065,Estrella Gerhold 867.473.5319 x85532,,
523475,C,2581243,2017-08-08 09:00:00 UTC,C,909,Itaque culpa ullam nemo dolores corporis quibusdam in.,SBODE,3,SD,CTROMP,2017-08-08,,,,,,,,,,,,,,JRAYNOR,2017-06-06,,,,Casper Mosciski,Favian Langosh III 318-878-1166 x951,Reid O'Connell IV 808.557.5852,,
523477,C,2558720,2017-08-08 09:00:00 UTC,H,909,Itaque ut enim quasi debitis.,SBODE,3,MT,CTROMP,2017-08-08,,,,2017-09-21,2017-10-06,A,,,,,,,17-284,JRAYNOR,2017-07-07,,30,,Joe Leannon MD,Cruz Weber II 1-488-894-5380,Miss Felix Turner 300-544-5553 x605,,
523478,C,877483,2017-08-08 13:00:00 UTC,H,909,Eum iure dicta quis maiores nihil architecto sit vero.,SBODE,3,WI,CTROMP,2017-08-08,,,3,2017-09-21,2017-10-06,A,,,,,,,17-284,JRAYNOR,2017-07-11,N,30,,Elta Keeling,Ms. Sebastian Nitzsche 1-442-063-2557,Mr. Virginie Rempel 250.328.0605 x5488,,
530564,V,2727431,2017-02-03 09:00:00 UTC,H,909,Similique amet et veritatis itaque reprehenderit est quod molestiae.,SBODE,11,OH,JWEHNER,2017-02-03,,,3,2017-02-06,2017-02-21,D,,,,N,,0,17-045,RO45,2016-12-28,,,512195,Erich Predovic,Chase Satterfield 268.578.1924 x78342,Price Satterfield 274.958.7546 x950,,
535188,V,2591483,2017-03-08 09:00:00 UTC,H,909,,SBODE,7,IL,LKUHLMAN,2017-03-08,2015-06-05,,3,2017-03-09,2017-03-24,D,,,,N,,0,17-093,RO45,2017-02-07,,,512326,Omer Raynor,Brent Dooley IV 882.415.6857,Mrs. Mellie Hauck 181-250-2750 x7035,,
535190,V,2800804,2017-03-08 10:00:00 UTC,H,909,,SBODE,7,FL,LKUHLMAN,2017-03-08,,,3,2017-03-09,2017-03-24,D,,,,N,,0,17-093,RO45,2017-02-07,,,512326,Ada Green,Einar Miller 829.522.1320 x487,Elton Raynor 364-636-5422,,
538323,V,2520489,2017-04-07 10:30:00 UTC,H,909,Expedita dolorum accusamus laudantium occaecati.,SBODE,8,NE,JWEHNER,2017-04-05,,,,2017-04-10,2017-04-25,D,,,,,,,17-135,RO22,2017-03-01,,60,537320,Miss Trinity Murray,Juana Cronin MD 659.970.3672,Suzanne Stiedemann (477) 890-4859,,
540249,V,2226048,2017-04-12 08:30:00 UTC,H,909,,SBODE,10,KY,JWEHNER,2017-04-12,,,3,2017-04-19,2017-05-04,A,,,,N,,0,17-141,RO49,2017-03-14,,60,537334,Verona Ratke,Ms. Valentin Stroman (820) 194-3086 x719,Elbert Baumbach Sr. (473) 901-3176 x1092,,
545592,V,2941741,2017-09-25 08:30:00 UTC,P,909,,SBODE,9,ND,JWEHNER,2017-09-25,,,,,,,,,,N,,0,,RO39,2017-04-24,,,513077,Mrs. Jade Walker,Major Langosh MD 1-443-685-0682 x6060,Xander Raynor MD (971) 957-7131,,
548720,T,2306397,2017-08-25 08:30:00 UTC,P,332,,SBODE,,WI,RO21,2017-08-25,2013-10-15,,,,,,,,,,,,,RO21,2017-05-15,,,2017-73-1,Estell Bosco,Fleta Weber 607-605-2161,Eric Buckridge 952-298-9868,,
548957,V,3019694,2017-07-25 11:30:00 UTC,P,1006,Voluptatem eos et velit amet cupiditate eaque aperiam quasi.,SBODE,6,CO,OFRANECKI,2017-07-25,,,,,,,,,,,,,,RO39,2017-05-16,,,512848,Dolly Muller,Anastacio Johnston V 657.181.0576 x18524,Clifton Tillman (887) 443-3134,,
551077,V,3156846,2017-08-01 13:00:00 UTC,P,1070,,SBODE,6,FL,CKASSULKE,2017-08-01,2016-06-06,,,,,,,,,,,,,RO55,2017-06-05,,,512865,Miss Flavie Block,Alexandria Bayer (353) 090-5969 x688,Modesto Wuckert 852-707-1765 x8696,,
553785,V,2362049,2017-07-24 09:00:00 UTC,H,909,Ut ducimus aliquam quam repellat.,SBODE,7,MT,JWEHNER,2017-07-26,,,3,2017-09-20,2017-10-05,D,,,,N,,0,17-276,RO44,2017-06-23,,,512842,Ms. Dortha Abernathy,Trenton Hane 524.192.9936 x9839,Marilou Botsford 380.635.8452 x6883,,
553904,V,2572888,2017-08-01 11:00:00 UTC,P,1070,Maiores officiis odit non qui officia.,SBODE,6,HI,CKASSULKE,2017-08-01,,,,,,,,,,,,,,RO55,2017-06-26,,,512865,Buster Stoltenberg,Mrs. Raymundo Kemmer (669) 607-7659 x47263,Kelvin Schuppe 1-814-830-5377,,
554062,V,2687879,2017-08-01 11:30:00 UTC,H,909,,SBODE,7,CA,JWEHNER,2017-08-01,,,3,2017-09-20,2017-10-05,A,,,,N,,0,17-281,RO39,2017-06-27,,60,551562,Arnulfo Rodriguez,Joel Terry 494-467-1275 x4519,Joy Waelchi 1-364-017-5752 x64829,,
554652,V,2940946,2017-08-01 08:30:00 UTC,P,1070,Magnam atque corporis ipsa dolor quos nihil nesciunt.,SBODE,6,MA,CKASSULKE,2017-08-01,,,,,,,,,,,,,,RO55,2017-06-30,,,512865,Al Walsh Jr.,Theo O'Conner 343.409.0092 x3385,Edgar Streich 402-532-8507 x866,,
554654,V,3026933,2017-08-01 10:00:00 UTC,P,1070,Iure repellat magnam aut cumque est aut nihil.,SBODE,6,NE,CKASSULKE,2017-08-01,,,,,,,,,,,,,,RO55,2017-06-30,,,512865,Christopher Hoppe,Stefanie Raynor V 715-274-0980 x4291,Mr. Cecile Simonis (562) 751-1431 x47972,,
554778,V,2860911,2017-07-24 09:00:00 UTC,H,909,Aut est vero est facilis iure voluptas libero.,SBODE,7,CO,JWEHNER,2017-07-26,,,3,2017-09-20,2017-10-05,D,,,,N,,0,17-276,RO44,2017-07-03,,,512842,Vladimir Weber,Guy Dibbert 1-849-256-1013,Leatha Gaylord I 885-932-5399,,
556693,V,2556987,2017-09-25 08:30:00 UTC,H,909,Doloremque tempore velit dolores at delectus.,SBODE,9,WI,JWEHNER,2017-09-25,,,3,2017-09-28,2017-10-13,D,,,,N,,0,17-322,RO39,2017-07-19,,,513077,Raoul McGlynn IV,Irma Marvin V 494.930.5700 x105,Frederic Ondricka II 385.083.2181 x586,,
556943,V,2575333,2017-09-12 08:30:00 UTC,C,909,,SBODE,,WA,RO16,2017-09-12,,,,,,,,,,,,,,RO16,2017-07-20,,,513027,Brendon Marvin,Frieda Marks (764) 552-7771 x75154,Dr. Claud Bernier (352) 140-7706 x3254,,
557308,V,3019694,2017-09-25 11:30:00 UTC,H,909,Optio vitae et adipisci placeat deleniti amet accusamus.,SBODE,9,TN,JWEHNER,2017-09-25,,,3,2017-09-28,2017-10-13,D,,,,N,,0,17-322,RO39,2017-07-25,,,513077,Pinkie Waters,Carroll Schaefer DVM (811) 249-8076,Ted Haley (287) 826-0513,,
562235,V,2231180,2017-10-13 08:30:00 UTC,P,909,,SBODE,11,ND,AABSHIRE,2017-10-13,,,,,,,,,,,,,,RO49,2017-08-22,,,559903,Chris Murphy,Miss Granville Kling 968-812-0222,Jaleel Heller 465-807-4006 x0913,,
562247,V,2306397,2017-10-13 10:30:00 UTC,H,909,,SBODE,11,MA,AABSHIRE,2017-10-13,,,,2017-10-19,2017-11-03,D,,,,,,,17-338,RO49,2017-08-22,,,559903,Nora Tromp,Miss Rachel Lockman 668-112-0110 x87172,Celia Eichmann II 281.433.6795 x3239,,
563520,V,2940946,2017-10-30 08:30:00 UTC,H,909,Totam aut delectus rerum.,SBODE,12,IA,JWEHNER,2017-10-31,,,3,2017-11-01,2017-11-16,A,,,,N,,0,17-356,RO55,2017-08-31,,,559987,Neva Sauer,Leopoldo Brown 868.685.3134 x343,Garnett Hermann 726.454.5300 x926,,
563523,V,3026933,2017-10-30 10:30:00 UTC,H,909,,SBODE,12,RI,JWEHNER,2017-10-31,,,3,2017-11-01,2017-11-16,A,,,,N,,0,17-356,RO55,2017-08-31,,,559987,Miss Fausto Moore,Aliyah Borer 190.302.3583 x6992,Thaddeus Macejkovic 348.931.5647,,
563524,V,2572888,2017-10-30 10:00:00 UTC,H,909,,SBODE,12,UT,JWEHNER,2017-10-31,,,3,2017-11-01,2017-11-16,A,,,,N,,0,17-356,RO55,2017-08-31,,,559987,Mr. Mayra Little,Aiyana Thompson (721) 123-2832,Jace Fadel (158) 692-0230,,
563526,V,3156846,2017-10-30 10:30:00 UTC,H,909,,SBODE,12,NC,JWEHNER,2017-10-31,,,3,2017-11-01,2017-11-16,A,,,,N,,0,17-356,RO55,2017-08-31,G,,559987,George Bauch V,Jeanette Weber MD 118-120-8448 x946,Chelsey Hackett DDS 937.963.4636,,
563690,V,3461497,2017-10-30 09:00:00 UTC,C,909,,SBODE,12,MI,JWEHNER,2017-10-31,,,,,,,,,,,,,,RO55,2017-08-31,,,559987,Cloyd Lindgren,Alphonso Turcotte 927-593-2175,Georgette Hilll 668.481.6688,,
564516,V,3063903,2017-11-14 08:30:00 UTC,H,909,,SBODE,5,WY,AABSHIRE,2017-12-07,,,3,2017-11-20,2017-12-05,D,,,,N,,,17-371,RO18,2017-09-07,G,30,560068,Tad Doyle,Brennon Moore 502-846-6996 x7806,Arjun Schoen IV 1-156-271-8575 x66128,,
564842,V,3041989,2017-10-13 08:30:00 UTC,H,909,,SBODE,11,OH,AABSHIRE,2017-10-16,,,,2017-10-19,2017-11-03,D,N,,,,,,17-338,RO49,2017-09-08,,,559903,Murl Treutel,Rashad Christiansen III 585-143-1851 x470,Wiley Wisoky I (707) 296-4457,,
565071,V,3035772,2017-10-30 14:00:00 UTC,H,909,,SBODE,12,GA,JWEHNER,2017-10-31,,,3,2017-11-01,2017-11-16,A,,,,N,,0,17-356,RO55,2017-09-11,,,559987,Nathanial Beier,Mr. Itzel Bergnaum (974) 488-6323 x65831,Enos Adams 1-598-968-5579 x36117,,
565804,V,2640781,2017-11-20 08:30:00 UTC,N,1070,,SBODE,13,MN,CFRANECKI,2017-11-22,,,,,,,,,,,,,,RO19,2017-09-14,,,560107,Sally Senger,Isabel O'Kon III 451.118.9322,Marshall Murray 1-690-072-9229 x855,,
565855,V,3467828,2017-10-30 13:30:00 UTC,H,909,,SBODE,12,TX,JWEHNER,2017-10-31,,,3,2017-11-01,2017-11-16,A,,,,N,,0,17-356,RO55,2017-09-15,,60,559987,Mrs. Yadira O'Connell,Casper Pacocha 326.575.2716,Leila Lebsack 328-054-5628,,
566568,V,2879794,2017-10-13 08:30:00 UTC,H,909,,SBODE,11,MI,AABSHIRE,2017-10-13,2016-10-17,,,2017-10-19,2017-11-03,D,,,,,,,17-338,RO49,2017-09-19,G,30,559903,Dorcas Jones,Felton Gusikowski (798) 620-1012 x412,Merle Bednar 977.333.7220 x98735,,
569451,V,2816809,2017-11-14 08:30:00 UTC,H,909,Cupiditate mollitia molestiae qui nam et.,SBODE,5,CA,AABSHIRE,2017-11-14,,,3,2017-11-20,2017-12-05,D,,,,N,,,17-371,RO18,2017-10-06,,,560068,Vernie Rogahn,Orval Anderson (826) 588-5512,Johnny Gulgowski DDS (203) 623-5194,,
569592,V,2657227,2017-11-14 10:30:00 UTC,H,909,Nesciunt aut debitis inventore.,SBODE,5,IA,AABSHIRE,2017-11-14,,,3,2017-11-20,2017-12-05,D,,,,N,,,17-371,RO18,2017-10-10,G,,560068,Miss Bernardo Raynor,Vita Pfannerstill 499-139-1521 x4526,Antonio Jenkins DDS 391-555-6572,,
569733,V,2752781,2017-11-14 10:30:00 UTC,N,909,Expedita qui voluptatum reiciendis explicabo ratione modi.,SBODE,5,IA,AABSHIRE,2017-11-14,,,,,,,,,,,,,,RO18,2017-10-11,,,560068,Cary Macejkovic,Everette Lindgren 790.148.3783,Simone Nolan 595-460-2661,,
569749,V,2765550,2017-11-14 13:00:00 UTC,H,909,Veniam aut ea error molestiae.,SBODE,5,WA,AABSHIRE,2017-11-14,,,3,2017-11-20,2017-12-05,D,,,,N,,,17-371,RO18,2017-10-11,,,560068,Samir Haag,Dr. Zoey Dach (426) 221-2238,Ambrose Hackett DVM 575.073.5716 x885,,
569753,V,2657116,2017-11-14 10:30:00 UTC,H,909,Sit ab placeat assumenda ipsam eos.,SBODE,5,DE,AABSHIRE,2017-11-14,,,3,2017-11-20,2017-12-05,D,,,,N,,,17-371,RO18,2017-10-11,,,560068,Mr. Jovanny Stehr,Mr. Regan Volkman (264) 452-7657 x811,Mrs. Elwin Zboncak 363-960-9462,,
570017,V,2866470,2017-11-14 08:30:00 UTC,C,909,,SBODE,5,MD,AABSHIRE,2017-11-14,,,,,,,,,,,,,,RO18,2017-10-12,,,560068,Russ Gibson,Garland Muller III 590.234.3243,Rupert Will PhD (267) 647-6444,,
570309,V,2231180,2017-12-11 10:30:00 UTC,,536,,SBODE,,MO,RO49,2017-10-23,,,,,,,,,,,,,,RO49,2017-10-14,,,560204,Zoe Boehm,Raegan Witting (201) 167-8915 x174,Clemens Kiehn (547) 343-0806 x3463,,
570455,V,2429085,2017-11-29 09:00:00 UTC,H,909,Voluptatem ut quis beatae molestias.,SBODE,11,MS,AABSHIRE,2017-11-29,,,3,2017-12-05,2017-12-20,A,,,,N,,0,17-382,RO44,2017-10-16,G,,560148,Rickey Cruickshank II,Oswaldo Barrows DVM 1-270-954-2599 x57506,Watson DuBuque 279.994.7853 x23315,,
570493,V,2889676,2017-11-29 09:00:00 UTC,H,909,,SBODE,11,NV,AABSHIRE,2017-11-29,,,3,2017-12-05,2017-12-20,A,,,,N,,0,17-382,RO44,2017-10-16,G,60,560148,Ms. Jennings Langworth,Ms. Olin Wiza 229-719-4750 x1502,Emiliano Schaden 549-747-3538,,
570512,V,2249056,2017-11-29 09:00:00 UTC,H,909,,SBODE,11,CA,AABSHIRE,2017-11-29,,,3,2017-12-05,2017-12-20,A,,,,N,,0,17-382,RO44,2017-10-16,G,90,560148,Mrs. Cara Runte,Nathanael Veum (678) 400-7168 x03244,Mr. Marcelina Collier 993.673.7892,,
570545,V,3124515,2017-11-29 09:00:00 UTC,H,909,,SBODE,11,CT,JWEHNER,2017-11-29,,,3,2017-12-05,2017-12-20,A,,,,N,,0,17-382,RO44,2017-10-16,G,,560148,Ford Boyle,Frankie Harvey (361) 136-9398 x61104,Andy Dickens 639.634.7426,,
570550,V,2868344,2017-11-29 09:00:00 UTC,H,909,,SBODE,11,ND,AABSHIRE,2017-11-29,,,3,2017-12-05,2017-12-20,A,,,,N,,0,17-382,RO44,2017-10-16,G,,560148,Janice Torp,Miguel Huel PhD (448) 679-8057 x333,Ms. Mayra Kuphal 1-471-600-1789 x9890,,
571124,T,2394756,2018-05-14 12:30:00 UTC,,909,Rerum dignissimos porro expedita sit vel eos cumque.,SBODE,,WY,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-10-19,,,2018-74-1,Mrs. Lavern Gulgowski,Dr. Tommie Dach 414-235-3119 x03791,Frederik Langworth (453) 867-7956 x114,,
571710,V,3282749,2017-11-14 13:00:00 UTC,H,909,,SBODE,5,NY,AABSHIRE,2017-11-14,,,3,2017-11-20,2017-12-05,D,,,,N,,,17-371,RO18,2017-10-25,G,,560068,Kyle Prohaska DVM,Mr. Jamaal Moore (115) 468-8977,Johann Kreiger 1-222-484-3315,,
575373,V,2889036,2017-12-01 08:30:00 UTC,N,909,,SBODE,11,KS,JWEHNER,2017-12-01,,,,,,,,,,,,,,RO77,2017-10-30,,,560156,Javonte Borer II,Loma Senger 484-801-2900 x2562,Dario O'Reilly (929) 913-2213 x278,,
575676,T,2571277,2018-05-14 12:30:00 UTC,,909,Similique id qui tempora.,SBODE,,CT,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-11-01,,,2018-74-1,Russel Windler,Sonia Bins 1-386-822-2120 x239,Heaven Rice III 817.168.7238 x08020,,
576647,T,3283372,2018-05-16 10:30:00 UTC,,909,Repellat in similique quia vitae eveniet delectus sint veniam.,SBODE,,NH,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-11-07,,,2018-74-1,Savannah Will,Damian Littel Jr. 1-694-103-5653 x201,Mr. Electa Wintheiser 1-623-169-6074 x74329,,
577042,T,2865144,2018-05-15 12:30:00 UTC,,909,,SBODE,,NJ,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-11-09,,,2018-74-1,Kenyon Erdman DVM,Horace Spinka 1-151-981-0150 x006,Alphonso Legros 1-675-170-7326 x009,,
579407,T,2640781,2018-05-15 08:30:00 UTC,,909,,SBODE,,HI,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-04,,,2018-74-1,Miss Kody Skiles,Daniela Armstrong III 947.902.6331 x1279,Mr. Joannie Considine (399) 185-3811,,
579473,F,2867636,2018-05-15 00:00:00 UTC,,,,19,,AL,RO19,2017-12-05,2014-01-09,,,,,,,,,,,,,RO19,2017-12-05,,,,Tillman Turner V,Sterling Durgan 1-242-686-1264 x815,Kenyatta Considine 1-104-467-9475 x4869,,
579474,T,2867636,2018-05-15 10:30:00 UTC,,909,Molestiae consequatur ut officia at.,SBODE,,NC,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-05,,,2018-74-1,Mrs. Gerda Runte,Alena Bernhard 766.166.3595,Miss Makayla Kub 1-342-229-0737 x672,,
579476,F,2676920,2018-05-15 00:00:00 UTC,,,,19,,MO,RO19,2017-12-05,2012-11-05,,,,,,,,,,,,,RO19,2017-12-05,,,,Cynthia Flatley IV,Mr. Gene Jenkins 1-241-105-6810,Richmond Parisian 316.089.1303 x3666,,
579478,T,2798946,2018-05-15 12:30:00 UTC,,909,,SBODE,,VT,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-05,,,2018-74-1,Jarvis Padberg,Meghan Lakin 279-103-1028 x705,Charity Bauch 773.083.7706,,
579489,T,2713160,2018-05-15 10:30:00 UTC,,909,,SBODE,,LA,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-05,,,2018-74-1,Lorenzo Effertz,Marques Connelly 458.408.1199,Laura Thompson 1-686-514-0862 x969,,
579511,T,3593381,2018-05-15 10:30:00 UTC,,909,Consequuntur sit labore qui et.,SBODE,,AR,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-05,,,2018-74-1,Lois Stehr,Antone Macejkovic 999.923.3115,Romaine Ortiz (839) 404-2634 x0844,,
579545,F,2766972,2018-05-15 00:00:00 UTC,,,Blanditiis explicabo consequatur laboriosam.,19,,AR,RO19,2017-12-05,2013-06-15,,,,,,,,,,,,,RO19,2017-12-05,,,,Krystel Walker Sr.,Mr. Michael Reynolds 454.383.8507 x4257,Zackery Armstrong IV 1-132-498-7978 x5701,,
579546,T,2766972,2018-05-15 12:30:00 UTC,,909,,SBODE,,VA,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-05,,,2018-74-1,Carmela Cummerata Jr.,Verda Larson 1-530-525-2582 x09213,Mr. Clare Baumbach 160.516.6444,,
579614,T,2873731,2018-05-15 14:30:00 UTC,,909,,SBODE,,IA,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-05,,,2018-74-1,Lenore Koch,Isaac Hettinger DVM 176.164.7966,Rebeca Feeney 913-311-5713 x4467,,
579618,T,2676920,2018-05-15 14:30:00 UTC,,909,,SBODE,,SD,RO19,2017-12-07,,,,,,,,,,,,,,RO19,2017-12-05,,,2018-74-1,Adrienne Hoppe,Bernadine Orn (451) 932-6310,Donato Franecki V (759) 063-0858 x245,,
